M_RSCP,M_RSRQ,M_SINR,M_CQI,M_QPSK ,M_16QAM,M_64QAM,M_256QAM,M_MIMO,M_Thrpt_Mbps,Thrpt_Good?
-74.17645905,-8.254045209,20.74387013,12.68289747,0.018779,0.183098,0.760563,0.037558,0.442056125,140.5324109,1
-102.8433651,-10.87711159,2.879690668,4.014213072,0.8125,0.1875,0,0,0.471254227,7.437979352,0
-77.55706156,-8.673315434,14.54100975,8.760556936,0.075471,0.26415,0.566037,0.094339,0.484756252,82.71902616,1
-98.86067503,-8.508126183,9.052061347,6.207493953,0.347826,0.521739,0.130434,0,0.268786127,20.59603835,0
-94.20427956,-11.36713548,14.23133744,5.122229412,0.491666,0.075,0.433333,0,0.333333333,40.82900875,1
-90.63262211,-11.24734417,9.884867793,6.694124254,0.447368,0.263157,0.22807,0.061403,0.030207394,55.20037359,1
-89.39032805,-7.697715351,10.93624756,7.456368978,0,0.333333,0.666666,0,0.333333333,28.92925701,1
-79.18384278,-10.14847719,11.10168756,8.966598228,0.443243,0.378378,0.178378,0,0.265621015,71.13540866,1
-89.46107871,-10.26100037,14.8792419,10.97496844,0.080851,0.263829,0.655319,0,0.340481565,132.6805621,1
-83.86274257,-10.56152829,6.76964677,9.682714925,0.140969,0.555066,0.303964,0,0.302846146,64.39554032,1
-81.24034316,-11.03645672,9.412179358,9.985690196,0.014563,0.674757,0.30097,0.009708,0.117407072,65.27526226,1
-80.51423746,-8.174389871,17.68526347,10.37867244,0,0.2,0.8,0,0.333333333,23.02675828,0
-87.58251682,-8.977525794,8.625450301,7.947130578,0.21875,0.6875,0.09375,0,0.333333333,23.67659157,0
-73.85408497,-6.217946102,23.16932596,13.20907987,0,0.285714,0.714285,0,0.333333333,29.29965038,1
-99.24676926,-9.823790697,5.216179894,7.773483447,0.363636,0.454545,0.181818,0,0.333333333,25.60362571,1
-99.60132752,-11.69932968,4.087551026,8.189666089,0.4,0.458333,0.141666,0,0.269100641,57.59197283,1
