StartTime,Longitude,Latitude,Data_Throughput,IP Access Time (ms),TransferTime,SessionTime,RSRP Avg,RSRQ Avg,SINR Avg,% QPSK ,% 16QAM,% 64QAM,% 256QAM,CQI,% MIMO
2018-09-22 07:55:54.804,51.387152,25.484028,42723901.13,325,6.658,6.983,-93.232972,-9.293717418,7.073292767,0.37037,0.592592,0.037037,0,7.169075951,0.499949024
2018-09-22 07:59:57.181,51.384303,25.478901,19442243.32,359,6.763,7.122,-102.6559792,-9.491140611,7.997568226,0.80597,0.149253,0.044776,0,5.596457663,0.225409836
2018-09-22 08:00:10.939,51.481207,25.213677,41421974.05,333,6.614,6.947,-87.24591413,-7.202105294,18.25190594,0.153846,0.296703,0.351648,0.197802,8.034625261,0.131362766
2018-09-22 08:06:16.205,51.39893,25.463875,35864745.22,317,6.78,7.097,-89.86186858,-9.547554136,9.323981781,0.508771,0.368421,0.096491,0.026315,7.553097922,0.268871334
2018-09-22 08:07:59.422,51.479759,25.22644,11749904.95,325,2.142,2.467,-83.98853021,-6.34818077,18.59612365,0,0.111111,0.888888,0,10.4498845,0.333333333
2018-09-22 08:08:50.995,51.482863,25.228667,68779590.92,312,6.587,7.107,-84.56432579,-8.891953726,9.89998289,0.109243,0.546218,0.344537,0,6.196299235,0.203398058
2018-09-22 08:13:58.411,51.400477,25.46947,26493155.6,315,0.95,1.265,-71.59375424,-5.783322084,29.83723801,0,0,0.5,0.5,12.11021073,0.333333333
2018-09-22 08:14:28.534,51.469851,25.235502,61001912.33,337,6.548,6.885,-89.29036917,-8.622283209,8.783655822,0.495867,0.181818,0.314049,0.008264,6.535664553,0.089256374
2018-09-22 08:14:48.985,51.398233,25.471283,168814351.7,319,6.502,6.981,-74.9359269,-7.576424576,27.76031623,0.006493,0.051948,0.941558,0,13.21804088,0.398831941
2018-09-22 08:17:51.408,51.485246,25.229373,115452853.7,333,6.641,6.974,-85.20495807,-8.902060703,15.80520881,0.031007,0.24031,0.519379,0.209302,7.658875256,0.17816092
2018-09-22 08:18:49.992,51.396773,25.485892,96084547.6,330,6.655,6.985,-74.42370859,-6.476658401,25.86960687,0.012195,0,0.530487,0.457317,12.33691329,0.38856327
2018-09-22 08:21:05.554,51.407627,25.473534,32142245.76,323,6.766,7.132,-92.93349028,-8.600559579,8.740531396,0.366197,0.295774,0.309859,0.028169,6.050179729,0.01980198
2018-09-22 08:21:31.922,51.469624,25.221338,8040987.42,333,3.13,3.463,-92.3748757,-7.492447983,7.915992418,0.117647,0.117647,0.705882,0.058823,8.245625053,0.012010981
2018-09-22 08:24:12.992,51.447763,25.215496,35538591.87,318,6.805,7.123,-89.56694844,-6.94341626,12.68858116,0.154545,0.345454,0.5,0,7.914241566,0.36417274
2018-09-22 08:26:30.572,51.439324,25.217413,46046754.81,321,5.123,7.108,-80.46761074,-8.588881975,18.90494854,0.380434,0.152173,0.369565,0.097826,10.10493381,0.205738825
2018-09-22 08:27:21.984,51.406286,25.421717,57797890.05,320,6.444,13.941,-94.42559856,-8.816375866,8.272377361,0.344086,0.301075,0.333333,0.021505,5.766854038,0.10190358
2018-09-22 08:29:53.098,51.446939,25.233757,63819893.54,328,6.8,7.128,-97.75384366,-9.144029781,7.550386048,0.356687,0.630573,0.012738,0,7.133440176,0.32315251
2018-09-22 08:31:28.169,51.418205,25.408527,110255607.3,322,6.8,7.122,-79.45221751,-8.217416468,15.97593654,0.016949,0.129943,0.807909,0.045197,11.12236063,0.363360059
2018-09-22 08:33:45.665,51.417453,25.405597,75383125.54,332,6.789,7.121,-78.86071789,-8.328632763,15.82880549,0.144144,0.45045,0.324324,0.081081,7.524760232,0.176964639
