MQ,MD,MU,BQ,BC,Call_Drops
-10,-90,-104.6,0,0,1
-10,-91,-101,0,0,1
-10,-92,-104.2,0,0,1
-10,-93,-102.6,0,0,1
-10,-94,-84.5,0,0,1
-10,-95,-112.1,0,0,1
-10,-95,-100.6,0,0,1
-10,-96,-102.8,0,1,1
-10,-97,-111.5,0,1,1
-10,-98,-106,0,1,1
-10,-98,-107.4,0,1,1
-10,-99,-111.5,0,1,1
-10.5,-100,-104.4,0,1,1
-10.5,-100,2729.5,0,1,1
-10.5,-100,-103.2,0,1,1
-10.5,-101,2381.2,0,1,1
-10.5,-101,-107.1,0,1,1
-10.5,-102,-107.7,0,1,1
-10.5,-103,-99.5,0,1,1
-10.5,-104,-101.2,0,1,1
-10.5,-105,-105.1,0,1,1
-10.5,-109,-107.6,0,1,1
-10.5,-111,-106.6,0,1,1
-10.5,-64,-100.3,0,0,1
-10.5,-69,-112.1,0,0,1
-10.5,-71,2381.2,0,0,1
-10.5,-73,-96.4,0,0,1
-10.5,-75,-102.9,0,0,1
-10.5,-76,-101.5,0,0,1
-10.5,-77,-94,0,0,1
-10.5,-78,-102.1,0,0,1
-10.5,-79,-97.6,0,0,1
-10.5,-80,2662.8,0,0,1
-10.5,-81,-103.7,0,0,1
-10.5,-82,-103.5,0,0,1
-10.5,-83,-101,0,0,1
-10.5,-84,-111.5,0,0,1
-10.5,-85,-100.3,0,0,1
-10.5,-86,-111.5,0,0,1
-10.5,-87,-104.4,0,0,1
-10.5,-88,-111.5,0,0,1
-10.5,-89,-112.1,0,0,1
-10.5,-89,-99.8,0,0,1
-10.5,-90,-103.9,0,0,1
-10.5,-90,-104.7,0,0,1
-10.5,-91,-99.4,0,0,1
-10.5,-92,-102.7,0,0,1
-10.5,-93,-112.1,0,0,1
-10.5,-93,-111.5,0,0,1
-10.5,-93,-103.3,0,0,1
-10.5,-94,-100.5,0,0,1
-10.5,-94,-103.5,0,0,1
-10.5,-95,-100.8,0,0,1
-10.5,-95,-102.9,0,0,1
-10.5,-95,-106,0,0,1
-10.5,-96,-96.7,0,1,1
-10.5,-96,-105.3,0,1,1
-10.5,-96,-103.1,0,1,1
-10.5,-97,-102.5,0,1,1
-10.5,-97,-94.6,0,1,1
-10.5,-98,-112.1,0,1,1
-10.5,-98,-104.8,0,1,1
-10.5,-99,-106.6,0,1,1
-11,-100,-90.5,0,1,1
-11,-100,-105.6,0,1,1
-11,-101,-101.5,0,1,1
-11,-102,-102.9,0,1,1
-11,-103,-106.9,0,1,1
-11,-104,-98.7,0,1,1
-11,-106,-104.7,0,1,1
-11,-107,-111.5,0,1,1
-11,-60,-101,0,0,1
-11,-61,-100.3,0,0,1
-11,-65,-105.2,0,0,1
-11,-66,-111.5,0,0,1
-11,-70,-111.5,0,0,1
-11,-73,-111.5,0,0,1
-11,-74,-98.8,0,0,1
-11,-75,-103.1,0,0,1
-11,-77,-100.5,0,0,1
-11,-78,-104.8,0,0,1
-11,-79,-111.5,0,0,1
-11,-80,-111.5,0,0,1
-11,-81,-111.5,0,0,1
-11,-82,-103.4,0,0,1
-11,-82,-100.1,0,0,1
-11,-83,-100.5,0,0,1
-11,-84,-104.2,0,0,1
-11,-85,-104.3,0,0,1
-11,-86,-106.7,0,0,1
-11,-86,-103.1,0,0,1
-11,-87,2739.7,0,0,1
-11,-88,-101.5,0,0,1
-11,-89,-103.9,0,0,1
-11,-90,-105.9,0,0,1
-11,-91,-103.9,0,0,1
-11,-91,-101.9,0,0,1
-11,-92,-100.7,0,0,1
-11,-92,-104.6,0,0,1
-11,-93,-100.6,0,0,1
-11,-94,-112.1,0,0,1
-11,-94,-103.3,0,0,1
-11,-95,-104.4,0,0,1
-11,-95,-95.8,0,0,1
-11,-96,-111.5,0,1,1
-11,-96,-106.2,0,1,1
-11,-96,-99.8,0,1,1
-11,-97,-98.1,0,1,1
-11,-97,-100.8,0,1,1
-11,-97,-103.9,0,1,1
-11,-98,-101.9,0,1,1
-11,-98,2381.2,0,1,1
-11,-99,2662.8,0,1,1
-11.5,-100,-104,0,1,1
-11.5,-101,-100.3,0,1,1
-11.5,-101,-106.4,0,1,1
-11.5,-102,-112.1,0,1,1
-11.5,-103,-106.6,0,1,1
-11.5,-104,-106.8,0,1,1
-11.5,-105,-103.2,0,1,1
-11.5,-106,-111.5,0,1,1
-11.5,-108,-107.9,0,1,1
-11.5,-109,-111.5,0,1,1
-11.5,-110,-100.6,0,1,1
-11.5,-111,-104.7,0,1,1
-11.5,-57,-103.3,0,0,1
-11.5,-65,-101.3,0,0,1
-11.5,-69,-98.7,0,0,1
-11.5,-71,-95.5,0,0,1
-11.5,-72,-111.5,0,0,1
-11.5,-73,-104.1,0,0,1
-11.5,-76,-111.5,0,0,1
-11.5,-77,-101.7,0,0,1
-11.5,-80,-102.8,0,0,1
-11.5,-84,2739.7,0,0,1
-11.5,-85,-103.1,0,0,1
-11.5,-86,-100.1,0,0,1
-11.5,-87,-111.5,0,0,1
-11.5,-88,-105.3,0,0,1
-11.5,-89,-107.6,0,0,1
-11.5,-90,-111.5,0,0,1
-11.5,-91,-108,0,0,1
-11.5,-92,-102.2,0,0,1
-11.5,-93,-112.1,0,0,1
-11.5,-93,-102.7,0,0,1
-11.5,-94,-99.9,0,0,1
-11.5,-95,-102.4,0,0,1
-11.5,-95,-101.6,0,0,1
-11.5,-96,-102,0,1,1
-11.5,-96,-101.9,0,1,1
-11.5,-97,-102.9,0,1,1
-11.5,-97,-103.2,0,1,1
-11.5,-98,-103,0,1,1
-11.5,-99,-100.4,0,1,1
-11.5,-99,-111.5,0,1,1
-12,-100,-101.2,0,1,1
-12,-101,-104.2,0,1,1
-12,-101,-99.9,0,1,1
-12,-102,-103.1,0,1,1
-12,-102,-111.5,0,1,1
-12,-103,-106,0,1,1
-12,-104,-102.7,0,1,1
-12,-105,-111.5,0,1,1
-12,-106,-111.5,0,1,1
-12,-107,-107.9,0,1,1
-12,-109,1452.7,0,1,1
-12,-110,-107.9,0,1,1
-12,-111,-100.2,0,1,1
-12,-67,-105.7,0,0,1
-12,-70,-103,0,0,1
-12,-72,-104.8,0,0,1
-12,-75,-98.2,0,0,1
-12,-76,-102.5,0,0,1
-12,-77,-111.5,0,0,1
-12,-78,2662.8,0,0,1
-12,-81,-101,0,0,1
-12,-83,-98.6,0,0,1
-12,-84,-111.5,0,0,1
-12,-85,-98.5,0,0,1
-12,-85,-97.4,0,0,1
-12,-86,-101.6,0,0,1
-12,-88,-104.1,0,0,1
-12,-89,-102.9,0,0,1
-12,-90,-101.4,0,0,1
-12,-91,-102.7,0,0,1
-12,-92,-100.2,0,0,1
-12,-93,-100.9,0,0,1
-12,-94,-95.4,0,0,1
-12,-94,-104.3,0,0,1
-12,-95,-103,0,0,1
-12,-95,-103,0,0,1
-12,-96,-106.2,0,1,1
-12,-96,-101.4,0,1,1
-12,-97,-102,0,1,1
-12,-98,-103.7,0,1,1
-12,-99,-111.5,0,1,1
-12.5,-100,-106,0,1,1
-12.5,-100,-100.7,0,1,1
-12.5,-101,-104.5,0,1,1
-12.5,-102,-100.5,0,1,1
-12.5,-104,-96.8,0,1,1
-12.5,-105,-106.7,0,1,1
-12.5,-107,-104.5,0,1,1
-12.5,-110,2814.8,0,1,1
-12.5,-111,-107.3,0,1,1
-12.5,-66,-99.4,0,0,1
-12.5,-70,-111.5,0,0,1
-12.5,-71,-102.9,0,0,1
-12.5,-77,-105.1,0,0,1
-12.5,-78,-100.6,0,0,1
-12.5,-79,-99.9,0,0,1
-12.5,-81,-104.6,0,0,1
-12.5,-83,-111.5,0,0,1
-12.5,-86,-103.9,0,0,1
-12.5,-87,-102.2,0,0,1
-12.5,-88,-102.1,0,0,1
-12.5,-89,-99.8,0,0,1
-12.5,-90,-102.8,0,0,1
-12.5,-91,-111.5,0,0,1
-12.5,-92,-101.9,0,0,1
-12.5,-93,-111.5,0,0,1
-12.5,-94,-112.1,0,0,1
-12.5,-95,-104.5,0,0,1
-12.5,-95,-111.5,0,0,1
-12.5,-95,-99.8,0,0,1
-12.5,-96,-102.5,0,1,1
-12.5,-97,-102.5,0,1,1
-12.5,-98,-102,0,1,1
-12.5,-99,-102.3,0,1,1
-12.5,-99,-101.5,0,1,1
-13,-100,-101.9,0,1,1
-13,-101,-88.6,0,1,1
-13,-101,-103.8,0,1,1
-13,-102,-96.7,0,1,1
-13,-103,-104.2,0,1,1
-13,-105,-111.5,0,1,1
-13,-106,-105,0,1,1
-13,-107,-101.9,0,1,1
-13,-108,-102.4,0,1,1
-13,-109,-107.6,0,1,1
-13,-111,-111.5,0,1,1
-13,-69,-103.2,0,0,1
-13,-74,-95.5,0,0,1
-13,-81,-102.7,0,0,1
-13,-84,-111.5,0,0,1
-13,-85,-103.8,0,0,1
-13,-86,-96.7,0,0,1
-13,-86,-111.4,0,0,1
-13,-87,-103.5,0,0,1
-13,-88,-111.5,0,0,1
-13,-88,-100,0,0,1
-13,-89,-112.1,0,0,1
-13,-90,-103.5,0,0,1
-13,-91,-103.3,0,0,1
-13,-92,-98.8,0,0,1
-13,-93,-111.5,0,0,1
-13,-95,-104,0,0,1
-13,-96,-104.4,0,1,1
-13,-97,-102.9,0,1,1
-13,-98,-103.4,0,1,1
-13,-99,-101.4,0,1,1
-13.5,-100,-111.5,0,1,1
-13.5,-101,-103.4,0,1,1
-13.5,-101,-101.8,0,1,1
-13.5,-102,-103.5,0,1,1
-13.5,-103,-97.1,0,1,1
-13.5,-104,-103.5,0,1,1
-13.5,-105,-103.9,0,1,1
-13.5,-106,-103.1,0,1,1
-13.5,-107,-103.5,0,1,1
-13.5,-108,-102.3,0,1,1
-13.5,-110,-108,0,1,1
-13.5,-114,-101.5,0,1,1
-13.5,-78,-103.2,0,0,1
-13.5,-80,-103.4,0,0,1
-13.5,-83,2739.7,0,0,1
-13.5,-85,-105.5,0,0,1
-13.5,-86,-99.3,0,0,1
-13.5,-87,-102.9,0,0,1
-13.5,-88,-108,0,0,1
-13.5,-89,-111.5,0,0,1
-13.5,-90,-111.5,0,0,1
-13.5,-91,-100.8,0,0,1
-13.5,-92,-106.3,0,0,1
-13.5,-93,-103.3,0,0,1
-13.5,-94,-108.3,0,0,1
-13.5,-95,-106.2,0,0,1
-13.5,-96,-98.1,0,1,1
-13.5,-97,-111.5,0,1,1
-13.5,-98,-102.6,0,1,1
-13.5,-98,-103.8,0,1,1
-13.5,-99,-106.3,0,1,1
-14,-101,-106.9,0,1,1
-14,-102,-100.9,0,1,1
-14,-103,-104.3,0,1,1
-14,-104,-96.3,0,1,1
-14,-106,-107.4,0,1,1
-14,-107,-102.1,0,1,1
-14,-113,-103.9,0,1,1
-14,-78,-103.4,0,0,1
-14,-79,-104.4,0,0,1
-14,-86,-112.1,0,0,1
-14,-88,-104.5,0,0,1
-14,-93,-102.7,0,0,1
-14,-94,-98.8,0,0,1
-14,-95,-111.5,0,0,1
-14,-96,-103.6,0,1,1
-14,-97,-100,0,1,1
-14,-97,-101.6,0,1,1
-14,-97,-100.3,0,1,1
-14,-98,-102.8,0,1,1
-14,-99,-101.5,0,1,1
-14.5,-100,-100.6,0,1,1
-14.5,-101,-97,0,1,1
-14.5,-102,-103.8,0,1,1
-14.5,-103,-100.9,0,1,1
-14.5,-104,-106.7,0,1,1
-14.5,-105,-111.5,0,1,1
-14.5,-108,-105.3,0,1,1
-14.5,-109,-100.8,0,1,1
-14.5,-110,-82.8,0,1,1
-14.5,-111,-105.6,0,1,1
-14.5,-112,-111.5,0,1,1
-14.5,-114,-103,0,1,1
-14.5,-115,-108.2,0,1,1
-14.5,-66,-98.7,0,0,1
-14.5,-67,2662.8,0,0,1
-14.5,-70,-102.7,0,0,1
-14.5,-83,-98.6,0,0,1
-14.5,-85,-99,0,0,1
-14.5,-86,-94,0,0,1
-14.5,-89,-102.2,0,0,1
-14.5,-91,-101.9,0,0,1
-14.5,-92,-101.9,0,0,1
-14.5,-94,-99.2,0,0,1
-14.5,-96,-103.5,0,1,1
-14.5,-98,2739.7,0,1,1
-14.5,-99,-102.1,0,1,1
-15,-100,-101.1,0,1,1
-15,-101,-104.1,0,1,1
-15,-102,-102.2,0,1,1
-15,-104,-111.4,0,1,1
-15,-106,-111.5,0,1,1
-15,-107,2662.8,0,1,1
-15,-110,-96.8,0,1,1
-15,-75,-103.2,0,0,1
-15,-76,-103.8,0,0,1
-15,-80,-93.5,0,0,1
-15,-84,-102.9,0,0,1
-15,-86,-101.4,0,0,1
-15,-87,-111.5,0,0,1
-15,-88,-104.6,0,0,1
-15,-90,-91.8,0,0,1
-15,-91,-104.4,0,0,1
-15,-92,-104.8,0,0,1
-15,-94,-102.1,0,0,1
-15,-95,-111.5,0,0,1
-15,-96,-103.9,0,1,1
-15,-98,-103.5,0,1,1
-15,-99,-103.9,0,1,1
-15.5,-101,-99,0,1,1
-15.5,-102,2814.8,0,1,1
-15.5,-103,-98,0,1,1
-15.5,-105,-102.8,0,1,1
-15.5,-106,-99.8,0,1,1
-15.5,-107,-96,0,1,1
-15.5,-108,-103.4,0,1,1
-15.5,-110,-105.7,0,1,1
-15.5,-111,-111.5,0,1,1
-15.5,-112,-111.5,0,1,1
